"Date","BAJAJ-AUTO.NS","EICHERMOT.NS","HEROMOTOCO.NS","M&M.NS","GRASIM.NS","ULTRACEMCO.NS","ASIANPAINT.NS","BRITANNIA.NS","HINDUNILVR.NS","TITAN.NS","BPCL.NS","NTPC.NS","ONGC.NS","POWERGRID.NS","AXISBANK.NS","HDFCBANK.NS","ICICIBANK.NS","INDUSINDBK.NS","HCLTECH.NS","INFY.NS","TCS.NS","TECHM.NS","COALINDIA.NS","HINDALCO.NS","JSWSTEEL.NS","VEDL.NS"
"2014-05-01","","6230.771973","2097.050781","507.33993499999997","404.921478","2198.517578","507.839996","399.215057","539.965454","308.407288","116.987274","90.822891","202.885025","101.817268","307.224243","759.6572269999999","196.783188","517.992676","636.479614","264.925995","936.99585","411.121582","247.97048999999998","133.639175","84.737411","153.724762"
"2014-06-02","","6750.832031","2049.409912","569.210083","435.64679","2414.949463","489.40969800000005","403.607574","551.0131230000001","306.221039","125.868172","111.86008500000001","214.14002999999997","111.380707","350.94329799999997","789.577271","206.529419","535.490173","626.0663450000001","271.777039","909.960327","425.868713","272.013458","144.78381299999998","89.902008","222.329208"
"2014-07-01","","7896.211426000001","2271.117432","548.563721","470.266754","2592.105957","564.818115","460.166077","583.380676","345.71936","133.582703","108.59383400000002","226.761749","124.547119","373.745392","800.045532","243.02954100000002","561.496521","678.0194700000001","292.469849","1041.220703","473.71408099999996","280.10064700000004","169.09939599999998","93.065262","235.19250499999998"
"2014-08-01","","8247.986328","2286.321289","551.493164","443.517883","2444.916748","604.143188","545.4993900000001","643.4024049999999","319.47879","130.80751","98.865883","207.06546","115.472977","376.65545699999996","792.417419","249.383575","535.2976070000001","686.0332639999999","303.38909900000004","1100.161499","496.050537","261.55838","177.831772","93.85112","225.10613999999998"
"2014-09-01","","9860.503906","2454.438232","659.1474","498.72708099999994","2614.9609379999997","609.270264","599.171387","686.864929","363.73538199999996","159.694611","99.62812","235.577591","117.785973","394.563599","817.440063","270.11132799999996","592.184082","741.337097","326.846588","1109.2290039999998","553.089417","266.111969","169.96778899999998","106.013893","226.184158"
"2014-10-01","","11577.102539","2560.883789","652.712585","501.47509800000006","2620.154297","612.755859","663.853088","682.922302","395.962067","159.52340700000002","99.164284","216.09059100000002","122.14954399999999","369.79391499999997","843.4829710000001","241.474487","587.256287","787.8573610000001","349.333618","1213.482666","587.82251","251.06691","150.699951","94.412903","216.322281"
"2014-11-03","","12497.151367","2682.026611","595.362793","506.743134","2532.3125","633.999084","715.72168","692.0301509999999","374.24935899999997","176.920822","105.33279399999999","217.00222799999997","130.146072","433.34841900000004","884.9769289999999","278.12167400000004","690.930115","716.933167","395.204346","1137.084351","601.70929","261.704102","158.756683","100.568527","210.85667400000003"
"2014-12-01","","14244.454102000002","2901.999268","608.3028559999999","503.19094800000005","2451.4453129999997","773.147095","800.5007320000001","756.383423","381.63363599999997","181.881363","99.94903599999999","195.492676","124.30592299999999","476.07498200000003","923.1669310000001","297.126129","754.207581","762.7341309999999","420.73489400000005","1182.113159","618.6621700000001","257.769836","162.493851","94.08788299999999","182.273438"
"2015-01-01","2253.987793","14971.841797","2766.158936","581.037048","488.36413600000003","2633.755859","726.6835940000001","869.144958","709.427979","371.461945","159.853271","101.588722","188.675018","123.18280800000001","489.60339400000004","925.159058","297.69223","792.31073","733.364136","381.94390899999996","1117.418335","605.020569","276.894867","153.806152","85.54464","176.283401"
"2015-02-02","2159.802002","16246.612305","2523.6948239999997","582.9863280000001","546.6087650000001","3053.722656","783.865784","901.699341","849.3118900000001","423.68960599999997","182.931824","101.30375699999999","191.855133","132.841553","600.7995","1051.049805","297.312073","853.343994","863.076538","413.369934","1108.0782470000001","675.0938719999999","258.716949","140.993027","80.015015","159.358597"
"2015-03-02","1906.937866","16113.494141","2337.838135","600.341553","572.3007200000001","3333.419922","800.840881","1007.1926269999999","875.1748050000001","403.444061","190.469727","114.46401999999999","175.51353500000002","140.793182","630.240967","1051.9730220000001","294.945587","921.597839","932.0104369999999","443.325012","1176.479248","666.93219","287.604919","151.961853","80.805542","175.439178"
"2015-04-01","1856.8798829999998","15814.036133000001","2365.7189940000003","564.6211549999999","530.210693","2852.567627","797.058044","1033.369019","826.3955080000001","381.829254","196.50561499999998","106.03144099999999","171.324692","132.171448","554.423218","1004.0654910000001","273.060638","902.814636","866.124695","420.546021","1120.612671","590.154358","279.10864300000003","128.32548500000001","73.004677","152.886169"
"2015-05-01","1919.4866940000002","15137.920897999998","2128.51001","564.809021","520.299805","2679.803467","756.026428","1066.986328","806.05127","376.792297","191.495987","109.332298","183.56814599999998","130.095718","553.157898","972.677856","278.257446","821.290649","850.5477289999999","385.561401","1093.6928710000002","570.613159","284.337158","129.24765","75.275917","170.775818"
"2015-06-01","2149.18335","18537.056641","2441.108398","590.924072","518.642273","2972.9536129999997","766.065979","1218.606201","823.869995","368.038788","210.32354700000002","99.42885600000001","181.192444","129.148102","562.987976","1006.9321289999999","267.399109","861.540344","900.019775","396.14300499999996","1153.720093","513.5751339999999","301.252808","124.588333","72.97258000000001","158.956573"
"2015-07-01","2322.478516","20091.265625","2270.501465","604.9679570000001","504.726196","3024.936279","742.2030030000001","1296.2717289999998","868.0025630000001","353.954926","216.96936000000002","99.24973299999999","175.489975","128.47122199999998","563.182678","1042.061035","268.806427","854.319824","872.9718630000001","422.743958","1164.299927","453.459015","327.164581","109.73674","71.548035","141.509171"
