"Date","BAJAJ-AUTO.NS","EICHERMOT.NS","HEROMOTOCO.NS","M&M.NS","GRASIM.NS","ULTRACEMCO.NS","ASIANPAINT.NS","BRITANNIA.NS","HINDUNILVR.NS","TITAN.NS","BPCL.NS","NTPC.NS","ONGC.NS","POWERGRID.NS","AXISBANK.NS","HDFCBANK.NS","ICICIBANK.NS","INDUSINDBK.NS","HCLTECH.NS","INFY.NS","TCS.NS","TECHM.NS","COALINDIA.NS","HINDALCO.NS","JSWSTEEL.NS","VEDL.NS"
"2017-04-25","2782.122803","25888.808594","3097.165039","636.212036","904.3015140000001","4220.648926","1082.331543","1692.300537","897.916565","479.237152","452.23349","126.72908799999999","166.97430400000002","193.864243","511.37570199999993","1517.213623","239.946823","1436.4528810000002","800.826782","419.571075","1096.388062","418.53070099999997","248.84852599999996","189.841476","188.376892","216.83689900000002"
"2017-04-26","2771.222168","25848.011719","3104.520996","658.255249","893.569031","4209.20752","1088.985962","1729.266479","914.776794","475.42230199999995","447.58456399999994","126.84398700000001","165.68634","191.169098","512.118408","1530.638062","243.821182","1447.771118","781.586243","412.753937","1095.84729","407.927704","247.373154","195.090103","192.541519","216.053741"
"2017-04-27","2752.590088","25781.212891","3093.0419920000004","650.688538","883.296753","4215.375977000001","1089.6759029999998","1730.074463","920.558838","473.93600499999997","450.184692","125.69503799999998","164.766403","193.074295","501.671051","1548.356445","241.399719","1453.702026","790.815857","417.720062","1092.185303","405.92175299999997","245.137711","192.960953","192.05728100000002","215.45487999999997"
"2017-04-28","2750.621338","25874.615234","3109.72168","649.885681","885.4810789999999","4227.165039","1104.561646","1763.8967289999998","908.557434","465.95944199999997","439.93902599999996","126.00110600000001","171.620148","193.30664099999998","504.691345","1526.541626","245.230499","1428.297974","795.1132809999999","414.875824","1078.1928710000002","398.27999900000003","247.373154","197.41731299999998","192.735229","224.39186099999998"
"2017-05-02","2783.275146","25599.472656","3141.90918","652.513306","884.0251460000001","4184.435059","1096.3302","1739.262329","901.9008789999999","480.67395","452.539032","124.162796","177.00195300000001","191.44790600000002","500.63122599999997","1520.717651","242.676285","1429.138306","802.877808","416.523651","1086.142578","399.426239","245.495377","198.308594","189.63597099999998","222.825592"
"2017-05-03","2817.1298829999996","25722.650391","3163.9770510000003","656.260254","888.126526","4279.346191","1103.033813","1742.454834","907.6343380000001","478.989471","450.306763","124.162796","175.806015","196.141174","495.97699000000006","1524.369995","240.16764799999999","1421.872925","815.623352","421.80584699999997","1108.625366","401.05014","249.966232","195.13961799999998","187.26310700000002","221.21324199999998"
"2017-05-04","2826.061768","25573.167969","3181.921875","649.569397","922.58551","4302.029785","1116.539551","1748.0999760000002","929.693481","488.15505999999993","447.43222000000003","124.58470200000001","173.782074","195.769424","513.801819","1514.992676","262.224426","1403.8826900000001","798.922302","423.318268","1105.210327","400.33371","250.592163","190.584198","187.941055","214.211075"
"2017-05-05","2773.334961","25641.753906","3164.02417","642.927246","913.884888","4307.75","1130.53833","1717.567627","926.972595","486.718292","443.303467","122.324478","169.09024","194.23599199999998","499.59146100000004","1512.426025","262.88504","1391.823486","810.251648","420.541779","1100.65686","394.50683599999996","249.027359","183.998703","183.82486","206.14936799999998"
"2017-05-08","2743.850342","26719.697266","3187.169678","648.815125","908.2118529999999","4403.556152","1150.7966310000002","1724.17627","927.895691","480.128967","437.706787","123.01383999999999","171.068176","195.165359","506.226288","1514.992676","266.75946","1408.4296880000002","820.604431","426.862305","1111.063232","402.29193100000003","249.563873","182.4142","185.277618","204.39883400000002"
"2017-05-09","2759.408936","26927.246094","3075.753174","653.8271480000001","895.1021119999999","4410.171875","1148.7758789999998","1748.508789","925.1747439999999","462.887726","441.253845","123.51201599999999","171.206177","193.631912","513.1582030000001","1515.930298","264.690521","1404.5251460000002","829.931824","427.38147000000004","1115.8632810000001","407.11578399999996","248.714386","184.592865","186.391434","207.669571"
